timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,protocol_encoded,is_https,is_dns,direction,traffic_type,privacy_score,traffic_mb,carbon_estimate,packet_category
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,476,2,1,0,Outgoing,Browsing,75,0.000453948974609375,2.72369384765625e-05,Medium
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,69,2,1,0,Incoming,System,80,6.580352783203125e-05,3.948211669921875e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,70,2,1,0,Incoming,System,80,6.67572021484375e-05,4.00543212890625e-06,Small
2026-06-13 23:43:57,Client_2,Client_1,UDP,443,53272,748,2,1,0,Incoming,Unknown,65,0.000713348388671875,4.2800903320312496e-05,Medium
2026-06-13 23:43:57,Client_1,Client_2,UDP,53272,443,87,2,1,0,Outgoing,Browsing,75,8.296966552734375e-05,4.978179931640625e-06,Small
2026-06-13 23:43:59,Client_1,Client_3,TCP,60533,443,55,1,1,0,Outgoing,Browsing,85,5.245208740234375e-05,3.147125244140625e-06,Small
2026-06-13 23:43:59,Client_3,Client_1,TCP,443,60533,70,1,1,0,Incoming,Unknown,85,6.67572021484375e-05,4.00543212890625e-06,Small
2026-06-13 23:44:02,Client_1,Client_2,TCP,60511,443,55,1,1,0,Outgoing,Browsing,85,5.245208740234375e-05,3.147125244140625e-06,Small
2026-06-13 23:44:02,Client_2,Client_1,TCP,443,60511,70,1,1,0,Incoming,Unknown,85,6.67572021484375e-05,4.00543212890625e-06,Small
2026-06-13 23:44:06,Client_4,Client_1,TCP,443,60365,82,1,1,0,Incoming,Unknown,85,7.82012939453125e-05,4.69207763671875e-06,Small
2026-06-13 23:44:06,Client_1,Client_4,TCP,60365,443,82,1,1,0,Outgoing,Browsing,85,7.82012939453125e-05,4.69207763671875e-06,Small
2026-06-13 23:44:06,Client_4,Client_1,TCP,443,60365,58,1,1,0,Incoming,Unknown,85,5.53131103515625e-05,3.31878662109375e-06,Small
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
2026-06-13 23:44:07,Client_1,Client_2,UDP,53272,443,1292,2,1,0,Outgoing,Communication,65,0.001232147216796875,7.39288330078125e-05,Large
